<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>The first generation of humans probably didn't have any idea what a "dumbass" was.<|endoftext|> 
<|showerthought|>When you look at a mirror, you’re actually looking at your reflection.<|endoftext|> 
<|showerthought|>Your parents can’t be the reason for your death.<|endoftext|> 
<|showerthought|>We probably won't ever know if the world is flat, or if there is an infinite number of dimensions. We will never know.<|endoftext|> 
<|showerthought|>Most people would have no idea what a “belly button” is.<|endoftext|> 
<|showerthought|>People are more likely to buy a used car than a brand new one<|endoftext|> 
<|showerthought|>We're only human because we're the result of millions of years of evolution<|endoftext|> 
<|showerthought|>If there is an afterlife, there is a possibility that there will be people who are still alive who were not born on earth.<|endoftext|> 
<|showerthought|>When you are in a car and the driver is talking to someone on the phone, you’re not really in the car. You are just talking to someone in the car.<|endoftext|> 
<|showerthought|>If you put your hand in the middle of the room, you are in the middle of the room.<|endoftext|> 
<|showerthought|>When you are a kid you think your parents have a big dick. When you grow up your parents think your dick is small.<|endoftext|> 
<|showerthought|>The average person is a lot more likely to be a serial killer than a murderer.<|endoftext|> 
<|showerthought|>A person could be a millionaire, but they would still have to pay taxes on their wealth<|endoftext|> 
<|showerthought|>The reason why people are so angry at the rich is because they have the power to do anything they want, and the poor have the power to do nothing at all<|endoftext|> 
<|showerthought|>If you're in a coma and you wake up in a dream, it's probably because you're in a dream. You're not dreaming.<|endoftext|> 
<|showerthought|>You can’t be the youngest person in the universe, because you’re the youngest person in the universe<|endoftext|> 
<|showerthought|>A lot of the things you think about are the most embarrassing things that you have ever done<|endoftext|> 
<|showerthought|>The people who are most afraid of being alone are the ones who don't want to be alone.<|endoftext|> 
<|showerthought|>A lot of people are scared to go out on a limb because they think they're going to be alone.<|endoftext|> 
<|showerthought|>The number of things we have never seen is probably higher than the amount of things we have seen<|endoftext|> 
<|showerthought|>It's funny how people who have a bad memory of something are usually more likely to remember it better than people with a good memory.<|endoftext|> 
<|showerthought|>The average number of fingers on a person's hand is 1.<|endoftext|> 
<|showerthought|>Some of the people who are most likely to be killed by a bullet are also the ones who are least likely to die from a gunshot.<|endoftext|> 
<|showerthought|>You can never be sure that the person you're dating will die<|endoftext|> 
<|showerthought|>The first human to ever have their genitals cut must have been really confused when they found out they could have sex.<|endoftext|> 
<|showerthought|>We can do anything with our minds and it’s all in our heads. We just can’t control our thoughts.<|endoftext|> 
<|showerthought|>You can't see yourself with your eyes closed<|endoftext|> 
<|showerthought|>Since your skeleton is constantly moving, it’s possible that you’ve never been in a room that you’ve never been in<|endoftext|> 
<|showerthought|>In our generation we have to learn to accept the fact that we have no way to prove that we're not a simulation.<|endoftext|> 
<|showerthought|>If you could see the inside of your eyelids, you'd probably see more than the outside.<|endoftext|> 
<|showerthought|>If you can't afford to pay for your own funeral, you probably don't deserve it.<|endoftext|> 
<|showerthought|>If you are a woman, you are the only person who has ever been born without having a penis<|endoftext|> 
<|showerthought|>The amount of people that would have died if a person could fly would probably be a lot lower than the amount of people that died in the Titanic.<|endoftext|> 
<|showerthought|>Every year, we pass the day we were born. Every year we pass the day we die.<|endoftext|> 
<|showerthought|>The most terrifying part of the movie "The Dark Knight" is that it’s not about a single cop, but a bunch of them.<|endoftext|> 
<|showerthought|>The reason the world is so fucked up is because we are all just living in the past.<|endoftext|> 
<|showerthought|>There are probably a lot of people who have never been in a car accident.<|endoftext|> 
<|showerthought|>There’s probably a lot of people out there who have never seen a black person’s face.<|endoftext|> 
<|showerthought|>There is no reason why you shouldn't have your car keys in your pocket.<|endoftext|> 
<|showerthought|>The more you know about the world, the more you realize how much you know.<|endoftext|> 
<|showerthought|>If a guy is in a relationship with a girl who is in a relationship with a guy who is in a relationship with a girl who is in a relationship with a guy who is not in a relationship then the guy is in a relationship with a girl who is not in a relationship.<|endoftext|> 
<|showerthought|>If a person has a lot of money, they can afford to be a good person. If a person has a lot of money, they can afford to be a bad person.<|endoftext|> 
<|showerthought|>A lot of people have never been in a car accident<|endoftext|> 
<|showerthought|>A lot of the things we think are the most important are the least important<|endoftext|> 
<|showerthought|>If you live on a farm, you’re technically living off the land.<|endoftext|> 
<|showerthought|>When you are in a dream, the world is your brain's version of the real world.<|endoftext|> 
<|showerthought|>You can have sex with a woman and still be a virgin<|endoftext|> 
<|showerthought|>When they finally do a remake of 'Scooby Doo' the Scooby-Doo gang must be very disappointed.<|endoftext|> 
<|showerthought|>The first thing you notice about a new car is how clean the engine is.<|endoftext|> 
<|showerthought|>The reason humans are so good at hiding their faces is because we don’t have to hide our eyes.<|endoftext|> 
<|showerthought|>It’s possible that the reason we don’t have a ‘big bang’ theory, is because it’s a theory we’ve never heard.<|endoftext|> 
<|showerthought|>A lot of people are scared of being alone in the dark.<|endoftext|> 
<|showerthought|>Sending a text message with a picture of yourself on it would be a great way to make a new friend<|endoftext|> 
<|showerthought|>Every song about a person is a love song.<|endoftext|> 
<|showerthought|>We all agree that a lot of the things we see are fake. We just don't know what they are or why they are there.<|endoftext|> 
<|showerthought|>In the future we will be able to see our ancestors' faces in the mirror and we will be able to tell them what they looked like.<|endoftext|> 
<|showerthought|>We are technically all in space<|endoftext|> 
<|showerthought|>Dogs get more excited about the smell of their own pee than they do when they see a human.<|endoftext|> 
<|showerthought|>Dryer sheets are a great way to keep the water from getting wet.<|endoftext|> 
<|showerthought|>If the internet is the new phone, then the phone is the new internet<|endoftext|> 
<|showerthought|>Most people wouldn’t know if a person has an accent if it’s not in their native language<|endoftext|> 
<|showerthought|>You don't know how much you know. It's just a guess.<|endoftext|> 
<|showerthought|>Dying in the hospital and being revived by a nurse or a physician is the same thing.<|endoftext|> 
<|showerthought|>When you're a kid, your parents are the only people who know you. When you're an adult, your parents are the only people who know you<|endoftext|> 
<|showerthought|>When you're a kid you think your parents are crazy, when you're an adult you think you're crazy.<|endoftext|> 
<|showerthought|>If you have an idea for a game, then it’s a game. If you have an idea for a movie, then it’s a movie.<|endoftext|> 
<|showerthought|>No matter what you do, you will always be the last one standing.<|endoftext|> 
<|showerthought|>All the kids in your class who are older than you are the same age you were when you were born.<|endoftext|> 
<|showerthought|>You will not be able to see your own face, only reflections<|endoftext|> 
<|showerthought|>If you are a man and you are born on January 1, you are technically a man on January 1<|endoftext|> 
<|showerthought|>It's not that we don't have the right to have sex with our partner, but that we don't have the right to do that with our partner's partner<|endoftext|> 
<|showerthought|>All the money in the world can’t change a person, it only changes their perception of the world.<|endoftext|> 
<|showerthought|>Some of the most important things in our lives are the things we don’t do<|endoftext|> 
<|showerthought|>The most terrifying part of being a parent is not knowing what the other person’s reaction is to you being a parent.<|endoftext|> 
<|showerthought|>You know you’ve gotten older when you can’t remember the exact moment you were born<|endoftext|> 
<|showerthought|>The more you know, the more you realize that you don’t know.<|endoftext|> 
<|showerthought|>If you're a woman, the first thing you think about when you see a man is how he looks like a woman<|endoftext|> 
<|showerthought|>All of those people that are getting their first birthday cake are probably going to die before their second.<|endoftext|> 
<|showerthought|>You’ve probably seen a lot of people in the past that have died from being hit by a bus.<|endoftext|> 
<|showerthought|>We all have the same amount of hair in our heads. We all have the same amount of hair on our body. But we all don't have the same amount of hair on our faces.<|endoftext|> 
<|showerthought|>The world is a lot more peaceful when you realize you're not alone.<|endoftext|> 
<|showerthought|>In the future, the only thing that will keep us from becoming robots is the fear of not being able to be robots<|endoftext|> 
<|showerthought|>When you see a dog in public, it’s a good sign. When you see a human, it’s a bad sign. But when you see a dog with a human, it’s a good sign.<|endoftext|> 
<|showerthought|>The people who are the most successful in the world are the ones who are the least likely to admit they're the most successful<|endoftext|> 
<|showerthought|>Most people don't have the ability or motivation to do anything.<|endoftext|> 
<|showerthought|>When you go to a movie theater, you are watching the same movie over and over again<|endoftext|> 
<|showerthought|>In a way, the reason that people don't like to be alone in the dark is because it makes them feel more alone.<|endoftext|> 
<|showerthought|>When people who are blind are in a room they are in a room with people who are blind.<|endoftext|> 
<|showerthought|>When you buy a new car, you are technically buying a brand new car.<|endoftext|> 
<|showerthought|>It's crazy how many people have a favorite color but not a favorite food.<|endoftext|> 
<|showerthought|>You can’t tell how good someone’s voice is until you hear it.<|endoftext|> 
<|showerthought|>When you're a teenager, it feels like you've been in a lot more adventures than when you're an adult<|endoftext|> 
<|showerthought|>The first thing you do when you wake up is to go to sleep.<|endoftext|> 
<|showerthought|>Most of the people who are in a coma don’t know what they’re doing<|endoftext|> 
<|showerthought|>The fact that the word 'piss' is used in the plural form is a testament to the power of word choice in the 21st century.<|endoftext|> 
<|showerthought|>The fact that the world has a lot of people with a lot of different interests and interests in the same area of life shows how little we really know about the world<|endoftext|> 
<|showerthought|>A person on a dating app has a better chance of getting laid than a person on a dating app without one<|endoftext|> 
<|showerthought|>If the word "cringe" is used as the noun for a joke, then the word "cringe" is actually the verb for the joke.<|endoftext|> 
<|showerthought|>Every movie or TV show is a sequel to the original, just with different endings.<|endoftext|> 
<|showerthought|>You've probably never seen a person with a face that you don't know.<|endoftext|> 
<|showerthought|>It's kind of weird that we have a word to describe a person's personality.<|endoftext|> 
<|showerthought|>We use air to breathe but not water to drink.<|endoftext|> 
<|showerthought|>The only reason you can't see your reflection in mirrors is because you are not seeing your reflection.<|endoftext|> 
<|showerthought|>If there's no way of knowing if you're immortal, then it's impossible to be immortal.<|endoftext|> 
<|showerthought|>We have come to the point that the only way to be truly safe is to not use the word "safe" at all.<|endoftext|> 
<|showerthought|>A dog would probably be more scared of you than you are of them.<|endoftext|> 
<|showerthought|>When you have a bad day at work, you're not really a bad worker; you just have a bad day at work.<|endoftext|> 
<|showerthought|>We’ve probably all been to the same place at least once.<|endoftext|> 
<|showerthought|>Some people don't have a sense of smell.<|endoftext|> 
<|showerthought|>The last few years have been one of the most interesting times for people who have a fear of spiders.<|endoftext|> 
<|showerthought|>It would cost more than a million dollars to build a house in the middle of nowhere<|endoftext|> 
<|showerthought|>In a few years, the only thing that will be considered a “classic” game is video games<|endoftext|> 
<|showerthought|>People who are afraid to admit they are afraid are the ones who are scared to admit they are afraid<|endoftext|> 
<|showerthought|>You can go to a funeral, but you can't go to a party.<|endoftext|> 
<|showerthought|>We are not afraid of death, we are afraid of not being able to die, so we can't be scared of not dying<|endoftext|> 
<|showerthought|>You never hear about people who have to clean their car after a car accident, but they do it after they get a divorce<|endoftext|> 
<|showerthought|>The average lifespan for humans is only about 60 years, yet the average human is the youngest human alive.<|endoftext|> 
<|showerthought|>We all are in the same universe, we just don't know it.<|endoftext|> 
<|showerthought|>It’s a shame we can’t see the sun.<|endoftext|> 
<|showerthought|>You’re probably not a bad person, but you’re just not a good person<|endoftext|> 
<|showerthought|>The fact that we can't see our own eyes is the most frustrating part about the human condition.<|endoftext|> 
<|showerthought|>If humans are the only intelligent species on the planet, then there is no reason for humans to have a language other then English.<|endoftext|> 
<|showerthought|>It’s possible that the first human to ever exist was the result of some kind of genetic mutation, and the only way to find out is by looking at the DNA of the first human to exist<|endoftext|> 
<|showerthought|>In space the sun is the most powerful star in the universe, yet it is not a part of the solar system.<|endoftext|> 
<|showerthought|>The fact that we can't see the inside of our eyelids, but can see the inside of our eyes, makes us blind.<|endoftext|> 
<|showerthought|>You’ve probably seen more of a dog’s face than a human’s<|endoftext|> 
<|showerthought|>You know you’re an adult when you don’t need a license for your kids to play in public.<|endoftext|> 
<|showerthought|>Most people never see a person with a tattoo of their face<|endoftext|> 
<|showerthought|>If you put the same number on a number pad and multiply it by the number pad's decimal point, the result will always equal zero<|endoftext|> 
<|showerthought|>The reason you can't see the back of your hand is because you're not holding the hand you're holding<|endoftext|> 
<|showerthought|>All life is technically a plant.<|endoftext|> 
<|showerthought|>Somehow, we all have a way of getting a good night sleep.<|endoftext|> 
<|showerthought|>We can’t be sure that the universe is infinite, because if it is, there’s a finite amount of universes. So we are all just in a finite number of realities.<|endoftext|> 
<|showerthought|>The word “toxic” is toxic. It’s a word with negative connotations, but it is toxic to be toxic.<|endoftext|> 
<|showerthought|>Sneezes are the only thing you don't have a choice about.<|endoftext|> 
<|showerthought|>It’s not a bad idea to get a tattoo of the word “I”<|endoftext|> 
<|showerthought|>In a way, we are the most important thing to the planet.<|endoftext|> 
<|showerthought|>You could make a lot of money by buying and selling a lot of things, but you'd never be able to buy a lot of things.<|endoftext|> 
<|showerthought|>Some people don't like to admit they have an addiction to something, but if it were a thing that was addictive it wouldn't be a thing.<|endoftext|> 
<|showerthought|>When you’re a kid, you don’t realize how much you hate the smell of your parents’ clothes.<|endoftext|> 
<|showerthought|>You have never seen a person who has never seen their own face before<|endoftext|> 
<|showerthought|>People are always complaining about being told to be more like a child but they never seem to notice that adults are the ones telling children to be more like adults<|endoftext|> 
<|showerthought|>It was probably easier to find the right person to be a father than to find the right woman to be a mother.<|endoftext|> 
<|showerthought|>Most of your life you've been in a dream, you’re just not awake to it.<|endoftext|> 
<|showerthought|>We are the only species on earth to have the ability to create a new life on another planet<|endoftext|> 
<|showerthought|>You probably don’t remember your last birthday, because it’s the last day you will ever have to think about.<|endoftext|> 
<|showerthought|>If the sun is really hot, we would probably have a lot of people with sunburns<|endoftext|> 
<|showerthought|>We are all just the first generation to have lived through the era of the internet.<|endoftext|> 
<|showerthought|>If you don't have a car and a car is a thing, you're not rich. You're poor.<|endoftext|> 
<|showerthought|>The more you learn about a subject, the less you know about it<|endoftext|> 
<|showerthought|>You may have seen a celebrity that you’ve never heard from before and you just assume they’re famous<|endoftext|> 
<|showerthought|>When your favorite song is playing in the background of your life, you're probably the most important person to someone in the world.<|endoftext|> 
<|showerthought|>The reason why people are so afraid of being alone in the dark is because they are afraid of being alone in the dark<|endoftext|> 
<|showerthought|>Saying something is ‘unpopular’ is a compliment, but ‘popular’ is a insult<|endoftext|> 
<|showerthought|>We would probably be a lot better at life if we didn’t need a lot of money<|endoftext|> 
<|showerthought|>The only thing we know for sure is that we don't know anything.<|endoftext|> 
<|showerthought|>The only people you can't trust are yourself and your friends.<|endoftext|> 
<|showerthought|>The number of people older than you never increases.<|endoftext|> 
<|showerthought|>There is a good chance that at some point in your life, you've seen someone who you've never seen before.<|endoftext|> 
<|showerthought|>If we are all just a giant brain, then we are all just a brain that is a giant brain that has a brain<|endoftext|> 
<|showerthought|>The first guy to ever use the word “bitch” probably didn’t know what the word meant.<|endoftext|> 
<|showerthought|>Every day our bodies are constantly trying to kill us, and it's not even that we're doing it. We are just trying to keep the world safe from the things we can't control.<|endoftext|> 
<|showerthought|>You probably never see a person who has never seen a dog<|endoftext|> 
<|showerthought|>Cops are probably the only people that can be arrested for not wearing their seatbelt<|endoftext|> 
<|showerthought|>It’s possible that the first human to ever live was the last human to ever exist.<|endoftext|> 
<|showerthought|>You could easily be the last human alive on Earth and not know it<|endoftext|> 
<|showerthought|>When we go into a room, we’re entering a room that’s never been entered before.<|endoftext|> 
<|showerthought|>If you’re a guy and you get a boner, it’s a sign you’re a good guy<|endoftext|> 
<|showerthought|>Most people who have been in the shower have been in the shower longer than most people who have not been in the shower<|endoftext|> 
<|showerthought|>You can easily tell how much of a person's personality you’ve interacted with by looking at their phone.<|endoftext|> 
<|showerthought|>If there’s a way to make a human being a better version of itself, it would probably be the most effective way to make a human being a better version of itself.<|endoftext|> 
<|showerthought|>When you’re young you’re scared of being alone, but when you’re older you’re afraid of not being alone.<|endoftext|> 
<|showerthought|>Every person who has ever lived will have a memory of someone who died in their lifetime, but not every person has ever died<|endoftext|> 
<|showerthought|>We can't see the inside of our own heads, yet we can't see the inside of the outside world.<|endoftext|> 
<|showerthought|>Cars are the only things that are always on fire, even though fire isn't actually on the road, it's in the air.<|endoftext|> 
<|showerthought|>All those people who have a problem with being told to "get a job" are the ones who have the job.<|endoftext|> 
<|showerthought|>We've been living in a world of the future, and it's a very strange world.<|endoftext|> 
<|showerthought|>In the Marvel Universe, the Hulk would probably be the strongest human.<|endoftext|> 
<|showerthought|>A lot of people have been to space, and they’re probably not even sure what it’s like.<|endoftext|> 
<|showerthought|>Cereal with milk and water is the only meal where it’s okay to drink the milk and drink the water<|endoftext|> 
<|showerthought|>The last two minutes of the last episode of The Office are probably the most depressing and depressing moments for people who work in the office<|endoftext|> 
<|showerthought|>We are in a world where people can't be wrong about anything<|endoftext|> 
<|showerthought|>We don't know what our ancestors looked like, only that they were different than us.<|endoftext|> 
<|showerthought|>The word ‘cute’ can be used as an adjective and an adjective can be used as the adjective.<|endoftext|> 
<|showerthought|>A lot of people don't like the idea of being in an empty room.<|endoftext|> 
<|showerthought|>If we were to have an AI with the ability of self-driving cars and the ability to read our thoughts, then it would probably be a lot more interesting to see what we're doing in the background.<|endoftext|> 
<|showerthought|>Most animals will die if we don't kill them, yet we are the only ones that can kill the most animals.<|endoftext|> 
<|showerthought|>No one is born with a perfect memory, but everyone is born with a perfect memory of what they would have done if they had known what they did not know.<|endoftext|> 
<|showerthought|>There’s probably a lot of people that have been in a coma and not been aware of it.<|endoftext|> 
<|showerthought|>A lot of people don’t know that there is a word for the sound that you make when you’re peeing<|endoftext|> 
<|showerthought|>Cats and dogs are the only pets you can be sure of having a good day with.<|endoftext|> 
<|showerthought|>Candy corn and candy corn flavored gum have the same texture, but different flavorings.<|endoftext|> 
<|showerthought|>If a cat has a belly button, it's bellybutton<|endoftext|> 
<|showerthought|>There’s probably someone out there who’s the only person who’s seen a UFO that’s been seen by a UFO<|endoftext|> 
<|showerthought|>You can use a knife to chop a tree, but not chop a tree.<|endoftext|> 
<|showerthought|>Saying "it's not your fault" is the exact same thing as saying "it's not your fault"<|endoftext|> 
<|showerthought|>We could all be the first to ever die<|endoftext|> 
<|showerthought|>You are the only one that has seen the entire universe.<|endoftext|> 
<|showerthought|>The people from the future who are going to live on earth are going to be really disappointed by the fact we didn't have a universal language.<|endoftext|> 
<|showerthought|>It’s not the size of your dick, but how hard you can push it.<|endoftext|> 
<|showerthought|>The difference between being a good parent and being a good person are the same thing. The former is a matter of being able to be good with your kids while the latter is a matter of being a good parent.<|endoftext|> 
<|showerthought|>When an animal dies in a zoo, it’s probably just a corpse.<|endoftext|> 
<|showerthought|>You could’ve been a good friend of a friend’s parent, and they’d never know.<|endoftext|> 
<|showerthought|>When we were kids we were taught that we could be anything we wanted to be, but as we get older we learn that we can’t be anything we want to be.<|endoftext|> 
<|showerthought|>People would probably be less likely to buy a car if they knew how much money it would cost to buy it.<|endoftext|> 
<|showerthought|>The first man to have a baby on Mars would have to be the first human to have sex on Mars<|endoftext|> 
<|showerthought|>If we can't see the past, then we can't see the future.<|endoftext|> 
<|showerthought|>Most men don’t realize that they are a man until they are asked if they are a man.<|endoftext|> 
<|showerthought|>It would make more sense to have an “unofficial” version of the game “The Sims”, where the sims are the main character, rather than a sim version of the game, where the main character is the player.<|endoftext|> 
<|showerthought|>You can buy a house in the middle of nowhere and it will still be worth a lot. You can buy a house on the edge of a city and it will still be worth nothing. You can buy a house in the middle of the desert and it won't be worth anything.<|endoftext|> 
<|showerthought|>If you have a dog and they bark at you, it’s a sign of affection. If you have a dog barking at you, it’s a sign of dominance.<|endoftext|> 
<|showerthought|>If the first person to discover the existence of the universe was a woman, then the first person to discover the existence of the universe was probably a guy<|endoftext|> 
<|showerthought|>There was a point in human history that we all thought the sun was the center of the universe<|endoftext|> 
<|showerthought|>The difference between a good and a good idea is the quality of the idea.<|endoftext|> 
<|showerthought|>The fact that the world’s population has been decreasing at a rate of about 2% per decade is the reason why people are getting older.<|endoftext|> 
<|showerthought|>We are all living in the same universe, but we are not aware of it<|endoftext|> 
<|showerthought|>If there is a universe, there is probably an entire species of people that are the exact same.<|endoftext|> 
<|showerthought|>When you're a kid you think you're a grown up. When you're an adult you think you're a kid again.<|endoftext|> 
<|showerthought|>In the future, people will have to be careful not to get their phone's camera on them when they are in public places, as the camera will be able to see what they are looking at.<|endoftext|> 
<|showerthought|>The people who have the most to lose from a new technology are the ones most likely to use it.<|endoftext|> 
<|showerthought|>There is a chance that the person who invented the wheel was a murderer<|endoftext|> 
<|showerthought|>If every single one of us were born with a unique genetic code, we wouldn’t be able to tell anyone apart<|endoftext|> 
<|showerthought|>Your parents had to have had sex before you were born, so they probably had sex before you were even conceived.<|endoftext|> 
<|showerthought|>A baby that is a year old is technically older than the average human<|endoftext|> 
<|showerthought|>If you were a vampire, you would never have to worry about being caught.<|endoftext|> 
<|showerthought|>We can make a living from the fact that we have a brain, but we can’t make a living from the fact that we don't have a brain<|endoftext|> 
<|showerthought|>People often refer to the "old you" as "the new you" when really they are referring to the old you. It's just that you're not the old you anymore.<|endoftext|> 
<|showerthought|>If you have a good memory you can remember a lot more than you think.<|endoftext|> 
<|showerthought|>The more money you have, the less you need.<|endoftext|> 
<|showerthought|>You've probably seen someone who was a virgin at some point in their lives.<|endoftext|> 
<|showerthought|>Every single thing that has ever existed is a part of a larger universe.<|endoftext|> 
<|showerthought|>If people were born with a penis, then the average person is a man.<|endoftext|> 
<|showerthought|>We need to stop using the word "the" in the sentence “the sun is up”.<|endoftext|> 
<|showerthought|>The older you are, the more likely you are to have a pet that has been in a car accident.<|endoftext|> 
<|showerthought|>There's probably a lot of dead bodies in the world that have never been found.<|endoftext|> 
<|showerthought|>The people who have been in a coma for a while probably don’t remember their dreams<|endoftext|> 
<|showerthought|>Some of the most famous and successful people in the world have been the most unoriginal and unoriginal people in the world<|endoftext|> 
<|showerthought|>The older you get, the less likely it is that you will ever have a dream where you’ll be able to go outside and not be scared by the weather.<|endoftext|> 
<|showerthought|>In the Harry Potter universe, if a wizard dies and is buried in a graveyard, they're technically still in the wizarding world.<|endoftext|> 
<|showerthought|>If we were to go back to the Stone Age, we would have no way of knowing if we were in the past or future.<|endoftext|> 
<|showerthought|>The world is full of people who are afraid of the dark, but don't want to be seen in it.<|endoftext|> 
<|showerthought|>When you’re young, it’s easy to get excited about being a parent, but when you’re an adult, it’s hard to get excited about being a parent.<|endoftext|> 
<|showerthought|>There are likely many people who are in the same room as you but don't know it<|endoftext|> 
<|showerthought|>It's very possible that you have never seen a single person who looks exactly like you.<|endoftext|> 
<|showerthought|>It took a while to realize that the word "cute" has a negative connotation. It’s a word used to describe a cute person, but it’s used in a negative way to describe a cute person.<|endoftext|> 
<|showerthought|>We never truly know how the universe is made. We only know what happens in it.<|endoftext|> 
<|showerthought|>We're the ones that are the least likely to get hurt by the weather.<|endoftext|> 
<|showerthought|>The person who discovered the first pen was probably the first person to use a pen to write on paper.<|endoftext|> 
<|showerthought|>Since all matter is made up of protons, the only thing we can truly be sure is that all matter is made up of protons. So if you're a particle physicist, you're a particle physicist.<|endoftext|> 
<|showerthought|>Cats might be the only animal that has the ability to see in the dark<|endoftext|> 
<|showerthought|>People that work for a living have to work for their lives.<|endoftext|> 
<|showerthought|>In 100 years, people will look up at the sky and think that it’s a UFO.<|endoftext|> 
<|showerthought|>The human body has evolved from a primitive animal to a modern one<|endoftext|> 
<|showerthought|>The only people who don't like being told they are wrong are those who are wrong themselves<|endoftext|> 
<|showerthought|>Sneezing is the most natural way of breathing.<|endoftext|> 
<|showerthought|>We don't know what the first person to discover the concept of a "breath" would have smelled like.<|endoftext|> 
<|showerthought|>If the sun is a giant, it’s probably the most dangerous thing in the universe.<|endoftext|> 
<|showerthought|>Your parents would have probably never seen you naked. You're just a part of their life.<|endoftext|> 
<|showerthought|>The word "bitch" is a bitch<|endoftext|> 
<|showerthought|>When a guy says "you are a man" he is saying he is attracted to a man, but when a woman says "you are a woman" she is saying she is attracted to a woman, but when a man says "I am a man" he is saying he is attracted to a man.<|endoftext|> 
<|showerthought|>Somebody out there has the world's most powerful penis<|endoftext|> 
<|showerthought|>A lot of people are going to be really disappointed when they realize that they don't have a job.<|endoftext|> 
<|showerthought|>There’s a good chance that someone has died while masturbating<|endoftext|> 
<|showerthought|>If you’ve ever seen a movie with a character who is wearing a mask, they probably have no idea what the mask looks like.<|endoftext|> 
<|showerthought|>If it's true the world is a better place than we thought, then the world is a better place because of us.<|endoftext|> 
<|showerthought|>People who are born deaf are probably the only ones that can hear themselves talk.<|endoftext|> 
<|showerthought|>The first people to discover the existence of a second planet probably thought they had discovered it.<|endoftext|> 
<|showerthought|>The first letter of the alphabet is the first letter of the word "alphabet"<|endoftext|> 
<|showerthought|>The first guy to ever have a penis must've had a pretty good sense of smell.<|endoftext|> 
<|showerthought|>It's funny how we all have the same birthday but not the exact same year<|endoftext|> 
<|showerthought|>We don’t know what it’s like to be blind.<|endoftext|> 
<|showerthought|>When it comes to the world of the living, the most important thing to remember is that you can’t die.<|endoftext|> 
<|showerthought|>If it was possible for a man to have sex with his own mother, it’d be considered incest.<|endoftext|> 
<|showerthought|>The number of people older than you never increases, but the number of people younger than you never decreases.<|endoftext|> 
<|showerthought|>All of our lives we have been the youngest person on Earth.<|endoftext|> 
<|showerthought|>You’re probably not a good liar.<|endoftext|> 
<|showerthought|>Every game has a story mode, and every story mode is a game<|endoftext|> 
<|showerthought|>The number one thing you can't do in a game is not die<|endoftext|> 
<|showerthought|>If you were to die on a planet with no life and no life would you be able to go on forever<|endoftext|> 
<|showerthought|>When a new year comes, you can't tell if you're getting old.<|endoftext|> 
<|showerthought|>Your brain knows how everything you see is real, but your body knows how it is not real.<|endoftext|> 
<|showerthought|>There’s no reason for people to be able to buy a house, but there’s no reason to buy a house.<|endoftext|> 
<|showerthought|>Most people will never be able to tell if they are in a dream or not.<|endoftext|> 
<|showerthought|>If the human brain is the brain of the universe, then we are the brain of the universe.<|endoftext|> 
<|showerthought|>The people who are the most likely to have a crush on you are also the people you least likely to have a crush on.<|endoftext|> 
<|showerthought|>There's a good chance you have seen someone else’s face in a photo and you’ve never even met their face.<|endoftext|> 
<|showerthought|>A lot more people would have gotten into the game if the first game was a free trial.<|endoftext|> 
<|showerthought|>In 20 years or so, the people who are most likely to be able to see the past will be the ones who can't see it.<|endoftext|> 
<|showerthought|>The amount of people older than you never increases<|endoftext|> 
<|showerthought|>If you're a guy and you have a crush on your girlfriend/boyfriend, you probably have a crush on both of them at once<|endoftext|> 
<|showerthought|>People who believe in the afterlife are the same people who believe the moon landing was faked<|endoftext|> 
<|showerthought|>We are the only species that have a natural instinct for reproduction.<|endoftext|> 
<|showerthought|>In the movie The Incredibles there is a scene where they have a baby and it's a baby who is the one who dies. The baby dies because it's not a human and therefore it is a monster.<|endoftext|> 
<|showerthought|>We don't really know how many people have died in the last few years, we just have a pretty good idea that it’s a lot<|endoftext|> 
<|showerthought|>There’s probably a lot of people that have been in a coma for years that have never seen the sun<|endoftext|> 
<|showerthought|>There is an infinite amount of ways you can die.<|endoftext|> 
<|showerthought|>It's very possible that you've never seen a single person with your own eyes<|endoftext|> 
<|showerthought|>When someone goes on a date with someone who’s not their partner, that's when the relationship is at its most vulnerable.<|endoftext|> 
<|showerthought|>The way you look at a person is directly related to how you feel about them.<|endoftext|> 
<|showerthought|>People always have a good idea about how to get a good idea, but they never seem to get a good idea about what to do with it.<|endoftext|> 
<|showerthought|>We have never seen a human being that has never been in a mirror.<|endoftext|> 
<|showerthought|>Most women will never be able to see themselves with their own eyes<|endoftext|> 
<|showerthought|>It’s possible to be a good person, and a bad person at the same time.<|endoftext|> 
<|showerthought|>You only learn about your past life once you die.<|endoftext|> 
<|showerthought|>We don't know what the future will be like because we don't know how it is.<|endoftext|> 
<|showerthought|>All of the animals in the world are born with the ability to see in the dark.<|endoftext|> 
<|showerthought|>It’s not the people you hate that are bad; it’s the people you hate who hate you.<|endoftext|> 
<|showerthought|>In the Harry Potter universe, if you're a witch, then you are a wizard.<|endoftext|> 
<|showerthought|>The reason no one has ever been able to prove that there is an afterlife is because no one has ever been able to prove that there is no afterlife.<|endoftext|> 
<|showerthought|>The biggest lie we tell ourselves is that our lives aren't important enough for us to care about them. We're the ones who care.<|endoftext|> 
<|showerthought|>We can all be a little bit of a masochist if we want to.<|endoftext|> 
